episode_id,instance_id,seed,deal_rate,normalized_primary,raw_primary,normalized_nash_welfare,usw,esw,nsw,nsw_geomean,gini,dist_to_frontier,dist_to_nbs,dist_to_ks,on_frontier,all_ir,n_ir_violations,n_ir_violation_turns,n_walked,welfare_slope,closing_round,rounds_to_agreement,reached_deadline,rounds_used_turns,deadline_rounds,cost_usd,belief_final_posterior_mass_true_type,belief_final_expected_utility_rmse,belief_final_accept_set_f1,belief_auc_posterior_mass_true_type,belief_auc_expected_utility_rmse,belief_auc_accept_set_f1,belief_n_believers,belief_n_turns,belief_accuracy_mean,belief_accuracy_final
scorable_negotiation-moves_chat-d960da5dff,scorable_negotiation-L0-033f0874d5,0,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,-1.0500000000000147,9.0,9.0,1.0,45.0,8,0.0,0.0002522239696536948,0.2498943069765943,0.1931786806511803,0.00024955153753225404,0.250693723194793,0.18384892576179812,5.0,9.0,0.18384892576179812,0.1931786806511803
scorable_negotiation-moves_chat-1d52621fdb,scorable_negotiation-L0-033f0874d5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-3.5666666666666758,9.0,nan,1.0,45.0,8,0.0,0.00023439645050042282,0.24897604789075062,0.20315777070814187,0.00022215273531930104,0.25085892078482985,0.17762137745899675,5.0,9.0,0.17762137745899675,0.20315777070814187
scorable_negotiation-moves_chat-97415feaa4,scorable_negotiation-L0-033f0874d5,2,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,1.633333333333326,9.0,9.0,1.0,45.0,8,0.0,0.0002353472769233407,0.24956910534248028,0.19295135410607017,0.00023228889803512351,0.24958755324295065,0.19527557696997302,5.0,9.0,0.19527557696997302,0.19295135410607017
scorable_negotiation-moves_chat-19edbc81f1,scorable_negotiation-L0-033f0874d5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-4.777660338799222e-15,9.0,nan,1.0,45.0,8,0.0,0.0002211292836316805,0.2572630381175619,0.17017427951509295,0.0002132384431148109,0.2580946075055276,0.15627599100023779,5.0,9.0,0.15627599100023779,0.17017427951509295
scorable_negotiation-moves_chat-e573b41d5b,scorable_negotiation-L0-033f0874d5,4,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,2.183333333333331,9.0,9.0,1.0,45.0,8,0.0,0.00023440279745970223,0.24898605865912957,0.20315777070814187,0.00022751183276229254,0.2501418209373426,0.18541975130863178,5.0,9.0,0.18541975130863178,0.20315777070814187
scorable_negotiation-moves_chat-7ca323a4d8,scorable_negotiation-L0-44925c2d5b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-3.450000000000007,9.0,nan,1.0,45.0,8,0.0,0.0004203730645532368,0.230173843093538,0.24065247698410533,0.0004101768070460754,0.23081009004018266,0.24834489727386228,5.0,9.0,0.24834489727386228,0.24065247698410533
scorable_negotiation-moves_chat-30c185ca12,scorable_negotiation-L0-44925c2d5b,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,1.0833333333333295,9.0,nan,1.0,45.0,8,0.0,0.00042166695383379787,0.23016621433522202,0.24065247698410533,0.0003978259301959947,0.23149500856557248,0.24761554799208296,5.0,9.0,0.24761554799208296,0.24065247698410533
scorable_negotiation-moves_chat-065fb28496,scorable_negotiation-L0-44925c2d5b,2,1.0,0.8899,0.7184,0.45650581106753263,176.0,26.0,47049600.0,34.238220702985316,0.1318181818181818,0.0,0.3067259021890903,0.496489817561318,1.0,1.0,0.0,0.0,0.0,2.316666666666666,9.0,9.0,1.0,45.0,8,0.0,0.0004136703185790197,0.23763672796501217,0.2127118295723543,0.0003751754386848758,0.23920987303188598,0.20244853323824116,5.0,9.0,0.20244853323824116,0.2127118295723543
scorable_negotiation-moves_chat-db8ac1667c,scorable_negotiation-L0-44925c2d5b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.4500000000000017,9.0,nan,1.0,45.0,8,0.0,0.0005432181755877963,0.23105877665136046,0.22532666357688513,0.0005074084026536491,0.23388438933494848,0.2177906545188158,5.0,9.0,0.2177906545188158,0.22532666357688513
scorable_negotiation-moves_chat-e4daaeae6f,scorable_negotiation-L0-44925c2d5b,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9666666666666696,9.0,nan,1.0,45.0,8,0.0,0.0003661481416397737,0.23764133624988054,0.2115130412354515,0.00035791653979107345,0.23803551487542304,0.2187299557477341,5.0,9.0,0.2187299557477341,0.2115130412354515
