episode_id,instance_id,seed,deal_rate,normalized_primary,raw_primary,normalized_nash_welfare,usw,esw,nsw,nsw_geomean,gini,dist_to_frontier,dist_to_nbs,dist_to_ks,on_frontier,all_ir,n_ir_violations,n_ir_violation_turns,n_walked,welfare_slope,closing_round,rounds_to_agreement,reached_deadline,rounds_used_turns,deadline_rounds,cost_usd,belief_final_posterior_mass_true_type,belief_final_expected_utility_rmse,belief_final_accept_set_f1,belief_auc_posterior_mass_true_type,belief_auc_expected_utility_rmse,belief_auc_accept_set_f1,belief_n_believers,belief_n_turns,belief_accuracy_mean,belief_accuracy_final
scorable_negotiation-moves_chat-78be8b7255,scorable_negotiation-L0-033f0874d5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-12.600000000000017,5.0,nan,1.0,25.0,4,0.0,0.00026287805239141426,0.249898467631987,0.20315777070814187,0.00024682650551823525,0.2518820254593089,0.1620030586533768,5.0,5.0,0.1620030586533768,0.20315777070814187
scorable_negotiation-moves_chat-3a88dd5af3,scorable_negotiation-L0-033f0874d5,1,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,-7.499999999999998,5.0,5.0,1.0,25.0,4,0.0,0.00023445645813055874,0.24902886735953284,0.20315777070814187,0.0002171788748163404,0.25074210364397564,0.17932074807041665,5.0,5.0,0.17932074807041665,0.20315777070814187
scorable_negotiation-moves_chat-b4de4dd847,scorable_negotiation-L0-033f0874d5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,2.0999999999999983,5.0,nan,1.0,25.0,4,0.0,0.0002412919680118893,0.2476917811708189,0.20991701916187044,0.00023319656069094012,0.24838915313066118,0.19834941763553557,5.0,5.0,0.19834941763553557,0.20991701916187044
scorable_negotiation-moves_chat-1601aa5724,scorable_negotiation-L0-033f0874d5,3,1.0,0.9007,0.8934,0.0,218.0,0.0,0.0,0.0,0.4972477064220184,0.0,0.8020231822232814,0.8020231822232814,1.0,1.0,0.0,0.0,0.0,15.699999999999994,5.0,5.0,1.0,25.0,4,0.0,0.0002212363066561104,0.257338958813488,0.17017427951509295,0.00021695071745668235,0.2565579068182286,0.16658698651370674,5.0,5.0,0.16658698651370674,0.17017427951509295
scorable_negotiation-moves_chat-f5b74ef192,scorable_negotiation-L0-033f0874d5,4,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,9.89999999999999,5.0,5.0,1.0,25.0,4,0.0,0.00023448732666268732,0.24902251367634926,0.20315777070814187,0.0002330269837584708,0.24906895519461406,0.19312087523646376,5.0,5.0,0.19312087523646376,0.20315777070814187
scorable_negotiation-moves_chat-16dbec7eea,scorable_negotiation-L0-44925c2d5b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,2.6999999999999815,5.0,nan,1.0,25.0,4,0.0,0.0003668927896647756,0.2376614250198589,0.2301733596664472,0.00035282262767909336,0.23796912853452543,0.2212652832080905,5.0,5.0,0.2212652832080905,0.2301733596664472
scorable_negotiation-moves_chat-3c067a61f9,scorable_negotiation-L0-44925c2d5b,1,1.0,0.8899,0.7184,0.45650581106753263,176.0,26.0,47049600.0,34.238220702985316,0.1318181818181818,0.0,0.3067259021890903,0.496489817561318,1.0,1.0,0.0,0.0,0.0,7.200000000000003,5.0,5.0,1.0,25.0,4,0.0,0.00039007953695249206,0.2319150122491564,0.25912119977204706,0.0003748492540298178,0.23266117526465308,0.2502923903522019,5.0,5.0,0.2502923903522019,0.25912119977204706
scorable_negotiation-moves_chat-7afda75304,scorable_negotiation-L0-44925c2d5b,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.39999999999999203,5.0,nan,1.0,25.0,4,0.0,0.0003347379192849864,0.23940795294865053,0.2127118295723543,0.00031264481984002784,0.2410672900867897,0.19589438623820668,5.0,5.0,0.19589438623820668,0.2127118295723543
scorable_negotiation-moves_chat-d940611d51,scorable_negotiation-L0-44925c2d5b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-1.388011048515419e-15,5.0,nan,1.0,25.0,4,0.0,0.00042857995530196595,0.24121197558084306,0.1871910434146818,0.0004127711211223623,0.24134371914365954,0.18346633108547422,5.0,5.0,0.18346633108547422,0.1871910434146818
scorable_negotiation-moves_chat-fe35e06260,scorable_negotiation-L0-44925c2d5b,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-1.8000000000000096,5.0,nan,1.0,25.0,4,0.0,0.00036692087948156675,0.23765490452446367,0.2301733596664472,0.00034945887055484346,0.238424677060938,0.21720639807358819,5.0,5.0,0.21720639807358819,0.2301733596664472
