episode_id,instance_id,seed,deal_rate,normalized_primary,raw_primary,normalized_nash_welfare,usw,esw,nsw,nsw_geomean,gini,dist_to_frontier,dist_to_nbs,dist_to_ks,on_frontier,all_ir,n_ir_violations,n_ir_violation_turns,n_walked,welfare_slope,closing_round,rounds_to_agreement,reached_deadline,rounds_used_turns,deadline_rounds,cost_usd,belief_final_posterior_mass_true_type,belief_final_expected_utility_rmse,belief_final_accept_set_f1,belief_auc_posterior_mass_true_type,belief_auc_expected_utility_rmse,belief_auc_accept_set_f1,belief_n_believers,belief_n_turns,belief_accuracy_mean,belief_accuracy_final
scorable_negotiation-moves_chat-096fadd080,scorable_negotiation-L0-033f0874d5,0,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,-0.30782085561497263,33.0,33.0,1.0,165.0,32,0.0,0.0002716554025161469,0.24671105731260418,0.20005084576957954,0.00025901490330145085,0.24905087259868958,0.1856016782549399,5.0,33.0,0.1856016782549399,0.20005084576957954
scorable_negotiation-moves_chat-f233530e54,scorable_negotiation-L0-033f0874d5,1,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,-0.08422459893048195,33.0,33.0,1.0,165.0,32,0.0,0.00023371021345100986,0.24868168149232495,0.19200274216180896,0.00022401637979844484,0.2505495500665469,0.17914756309855065,5.0,33.0,0.17914756309855065,0.19200274216180896
scorable_negotiation-moves_chat-ac184c2111,scorable_negotiation-L0-033f0874d5,2,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,-0.037767379679144335,33.0,33.0,1.0,165.0,32,0.0,0.000246799867616823,0.24759224140484992,0.20322145027318933,0.0002348453098807098,0.24955646413590382,0.19352674934584405,5.0,33.0,0.19352674934584405,0.20322145027318933
scorable_negotiation-moves_chat-cb1703529b,scorable_negotiation-L0-033f0874d5,3,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.24766042780748757,33.0,33.0,1.0,165.0,32,0.0,0.0002479509000915726,0.2467850109530751,0.21153292087373435,0.00022635488366743443,0.2502550063646235,0.18217494454073974,5.0,33.0,0.18217494454073974,0.21153292087373435
scorable_negotiation-moves_chat-938abde52b,scorable_negotiation-L0-033f0874d5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.49097593582887633,33.0,nan,1.0,165.0,32,0.0,0.00023370469475783164,0.24868644119495906,0.19200274216180896,0.00022523002208828455,0.25044119944515797,0.17981551966208648,5.0,33.0,0.17981551966208648,0.19200274216180896
scorable_negotiation-moves_chat-8834d248f0,scorable_negotiation-L0-44925c2d5b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.20822192513369048,33.0,nan,1.0,165.0,32,0.0,0.00041479751578912,0.2301936900587848,0.23006294395309662,0.0004156194078356975,0.23032721095930092,0.238018271649259,5.0,33.0,0.238018271649259,0.23006294395309662
scorable_negotiation-moves_chat-9bf334b6aa,scorable_negotiation-L0-44925c2d5b,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.09491978609625558,33.0,nan,1.0,165.0,32,0.0,0.0006603879622061456,0.2225045929611278,0.2465951159355056,0.0006578841229731711,0.22290326344620542,0.25753504194758464,5.0,33.0,0.25753504194758464,0.2465951159355056
scorable_negotiation-moves_chat-755be00515,scorable_negotiation-L0-44925c2d5b,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.17513368983957128,33.0,nan,1.0,165.0,32,0.0,0.00040993507656332095,0.23754021920644494,0.19287889971928937,0.0004027319923745634,0.23798751504703736,0.19888078572077872,5.0,33.0,0.19888078572077872,0.19287889971928937
scorable_negotiation-moves_chat-8ca4ffc6f7,scorable_negotiation-L0-44925c2d5b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.007018716577539945,33.0,nan,1.0,165.0,32,0.0,0.0006120998131045787,0.22800671497028277,0.22534211756456704,0.0006078320798886384,0.22834964718087108,0.23157214373578042,5.0,33.0,0.23157214373578042,0.22534211756456704
scorable_negotiation-moves_chat-a99a070d60,scorable_negotiation-L0-44925c2d5b,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.013034759358288853,33.0,nan,1.0,165.0,32,0.0,0.00041477188840981834,0.2301957403241904,0.23006294395309662,0.0004149516205017356,0.23040780447405193,0.23760114280948122,5.0,33.0,0.23760114280948122,0.23006294395309662
