episode_id,instance_id,seed,deal_rate,normalized_primary,raw_primary,normalized_nash_welfare,usw,esw,nsw,nsw_geomean,gini,dist_to_frontier,dist_to_nbs,dist_to_ks,on_frontier,all_ir,n_ir_violations,n_ir_violation_turns,n_walked,welfare_slope,closing_round,rounds_to_agreement,reached_deadline,rounds_used_turns,deadline_rounds,cost_usd,belief_final_posterior_mass_true_type,belief_final_expected_utility_rmse,belief_final_accept_set_f1,belief_auc_posterior_mass_true_type,belief_auc_expected_utility_rmse,belief_auc_accept_set_f1,belief_n_believers,belief_n_turns,belief_accuracy_mean,belief_accuracy_final
scorable_negotiation-moves_chat-fb8e3705b9,scorable_negotiation-L0-033f0874d5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.24405594405594452,65.0,nan,1.0,325.0,64,0.0,0.0005368292481822841,0.2405260365027385,0.23057326452729243,0.0004966221111971132,0.24244964973284952,0.2245510770764481,5.0,65.0,0.2245510770764481,0.23057326452729243
scorable_negotiation-moves_chat-2ce3add0bb,scorable_negotiation-L0-033f0874d5,1,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.0022290209790191357,65.0,65.0,1.0,325.0,64,0.0,0.0002471579895459898,0.24639694821206404,0.21153292087373435,0.00022441990676118812,0.25030320994530186,0.1765946764416296,5.0,65.0,0.1765946764416296,0.21153292087373435
scorable_negotiation-moves_chat-f77f447af0,scorable_negotiation-L0-033f0874d5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.039991258741257946,65.0,nan,1.0,325.0,64,0.0,0.00024628625457416857,0.24730244117464686,0.20322145027318933,0.0002319292533024113,0.24980291932277338,0.19073867296445554,5.0,65.0,0.19073867296445554,0.20322145027318933
scorable_negotiation-moves_chat-ba660cf2e9,scorable_negotiation-L0-033f0874d5,3,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.08872377622377456,65.0,65.0,1.0,325.0,64,0.0,0.0002328566933041608,0.2483099631189727,0.19200274216180896,0.00022410161762690092,0.2503209271091418,0.1766427134634337,5.0,65.0,0.1766427134634337,0.19200274216180896
scorable_negotiation-moves_chat-f8beafa757,scorable_negotiation-L0-033f0874d5,4,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.036844405594404515,65.0,65.0,1.0,325.0,64,0.0,0.00023282760784319717,0.2483027817055227,0.19200274216180896,0.0002246834859986326,0.2502568291936464,0.17698643107127915,5.0,65.0,0.17698643107127915,0.19200274216180896
scorable_negotiation-moves_chat-2fdbce70c7,scorable_negotiation-L0-44925c2d5b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.026617132867131913,65.0,nan,1.0,325.0,64,0.0,0.0004075864793018932,0.2302390292060509,0.2294957515554649,0.0004132312121937844,0.2302685582403659,0.23380247197510587,5.0,65.0,0.23380247197510587,0.2294957515554649
scorable_negotiation-moves_chat-0862a5974f,scorable_negotiation-L0-44925c2d5b,1,1.0,0.8899,0.7184,0.45650581106753263,176.0,26.0,47049600.0,34.238220702985316,0.1318181818181818,0.0,0.3067259021890903,0.496489817561318,1.0,1.0,0.0,0.0,0.0,0.07980769230769161,65.0,65.0,1.0,325.0,64,0.0,0.0006456938485192563,0.2227697697600985,0.24602792353787387,0.000655200170157319,0.22277117342555952,0.251829708755538,5.0,65.0,0.251829708755538,0.24602792353787387
scorable_negotiation-moves_chat-746a03428d,scorable_negotiation-L0-44925c2d5b,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.03317307692307615,65.0,nan,1.0,325.0,64,0.0,0.00040503961667643485,0.2374339273017732,0.19231170732165764,0.00040509105086215265,0.23773368983430232,0.1956115854417924,5.0,65.0,0.1956115854417924,0.19231170732165764
scorable_negotiation-moves_chat-f73e3c021a,scorable_negotiation-L0-44925c2d5b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.01722027972027793,65.0,nan,1.0,325.0,64,0.0,0.0006013115803202204,0.2280855184293066,0.22157806961501914,0.0006069024306719885,0.22820931121717258,0.22784541304721842,5.0,65.0,0.22784541304721842,0.22157806961501914
scorable_negotiation-moves_chat-29277e6677,scorable_negotiation-L0-44925c2d5b,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.04003496503496539,65.0,nan,1.0,325.0,64,0.0,0.0004076031077469105,0.23023918768101623,0.2294957515554649,0.0004129042834078463,0.23030915413811717,0.23358382947315634,5.0,65.0,0.23358382947315634,0.2294957515554649
