episode_id,instance_id,seed,deal_rate,normalized_primary,raw_primary,normalized_nash_welfare,usw,esw,nsw,nsw_geomean,gini,dist_to_frontier,dist_to_nbs,dist_to_ks,on_frontier,all_ir,n_ir_violations,n_ir_violation_turns,n_walked,welfare_slope,closing_round,rounds_to_agreement,reached_deadline,rounds_used_turns,deadline_rounds,cost_usd,belief_final_posterior_mass_true_type,belief_final_expected_utility_rmse,belief_final_accept_set_f1,belief_auc_posterior_mass_true_type,belief_auc_expected_utility_rmse,belief_auc_accept_set_f1,belief_n_believers,belief_n_turns,belief_accuracy_mean,belief_accuracy_final
scorable_negotiation-moves_chat-922669def3,scorable_negotiation-L0-033f0874d5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.49754901960784675,17.0,nan,1.0,85.0,16,0.0,0.00025566830973604483,0.25004765491896797,0.1931786806511803,0.00024726279211515704,0.25156576077476833,0.18035793055642277,5.0,17.0,0.18035793055642277,0.1931786806511803
scorable_negotiation-moves_chat-c9486d7b34,scorable_negotiation-L0-033f0874d5,1,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.06862745098039502,17.0,17.0,1.0,85.0,16,0.0,0.00023418409953514604,0.24888609153971492,0.1931786806511803,0.00022252770787388075,0.25082162202845454,0.18039893264121526,5.0,17.0,0.18039893264121526,0.1931786806511803
scorable_negotiation-moves_chat-ea54f8853d,scorable_negotiation-L0-033f0874d5,2,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.2892156862745097,17.0,17.0,1.0,85.0,16,0.0,0.0002472338245954005,0.2477423731069938,0.20322145027318933,0.00023668382127206878,0.24930293047796348,0.1967084074929343,5.0,17.0,0.1967084074929343,0.20322145027318933
scorable_negotiation-moves_chat-f60fddc80a,scorable_negotiation-L0-033f0874d5,3,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,2.296568627450983,17.0,17.0,1.0,85.0,16,0.0,0.00022089465110242053,0.25711509278162786,0.17017427951509295,0.00021419596740855965,0.25819936919469544,0.1571219544101887,5.0,17.0,0.1571219544101887,0.17017427951509295
scorable_negotiation-moves_chat-53f32acd75,scorable_negotiation-L0-033f0874d5,4,1.0,0.7743,0.791,0.4886751124811321,193.0,18.0,56216160.0,35.47907065478533,0.20725388601036268,0.0,0.5378131866550953,0.5378131866550953,1.0,1.0,0.0,0.0,0.0,0.9460784313725505,17.0,17.0,1.0,85.0,16,0.0,0.0002483586679056119,0.2469857346821926,0.21270885936310568,0.0002296243584506648,0.24997983129545548,0.18731331538680457,5.0,17.0,0.18731331538680457,0.21270885936310568
scorable_negotiation-moves_chat-db0d673344,scorable_negotiation-L0-44925c2d5b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.41666666666666535,17.0,nan,1.0,85.0,16,0.0,0.0004184788227256313,0.230181329911271,0.24065247698410533,0.0004149180367748924,0.23047490921992023,0.2439880619021073,5.0,17.0,0.2439880619021073,0.24065247698410533
scorable_negotiation-moves_chat-7f25c0a73a,scorable_negotiation-L0-44925c2d5b,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.7622549019607903,17.0,nan,1.0,85.0,16,0.0,0.0006674466429211565,0.22238987289101558,0.26279734130487037,0.0006522907449080285,0.2233624185628323,0.262490205671185,5.0,17.0,0.262490205671185,0.26279734130487037
scorable_negotiation-moves_chat-a9fe37e409,scorable_negotiation-L0-44925c2d5b,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.09558823529411913,17.0,nan,1.0,85.0,16,0.0,0.00041240258701725075,0.23760333675008755,0.20346843275029808,0.0003942935455770508,0.23840977624914408,0.2031512602737998,5.0,17.0,0.2031512602737998,0.20346843275029808
scorable_negotiation-moves_chat-cd0aa4c351,scorable_negotiation-L0-44925c2d5b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.31372549019607915,17.0,nan,1.0,85.0,16,0.0,0.0004848482282935547,0.23145503582929514,0.21054759405880336,0.0004955848994730025,0.2325734876597784,0.21399951468673867,5.0,17.0,0.21399951468673867,0.21054759405880336
scorable_negotiation-moves_chat-9e1a32a286,scorable_negotiation-L0-44925c2d5b,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.7034313725490207,17.0,nan,1.0,85.0,16,0.0,0.0004185676624408758,0.2301794665525306,0.24065247698410533,0.0004135889291741179,0.23063735696817306,0.2430313052244692,5.0,17.0,0.2430313052244692,0.24065247698410533
scorable_negotiation-moves_chat-daa4a51faf,scorable_negotiation-L0-5b80bb74c6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9607843137254903,17.0,nan,1.0,85.0,16,0.0,0.0001468851339704206,0.2605801675361049,0.20800284087128923,0.00013887216375984765,0.2627407419514702,0.20646919875677422,5.0,17.0,0.20646919875677422,0.20800284087128923
scorable_negotiation-moves_chat-547fb37776,scorable_negotiation-L0-5b80bb74c6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-1.522058823529411,17.0,nan,1.0,85.0,16,0.0,0.00018773817531437013,0.25921605875178794,0.21210060799277747,0.00018785776404260592,0.25927033144732126,0.21043622250775845,5.0,17.0,0.21043622250775845,0.21210060799277747
scorable_negotiation-moves_chat-e620bdaba6,scorable_negotiation-L0-5b80bb74c6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,-0.8480392156862703,17.0,nan,1.0,85.0,16,0.0,0.00015217615032430947,0.2610597197552674,0.20443994778952823,0.0001530127075198543,0.260861733972232,0.2042678847609655,5.0,17.0,0.2042678847609655,0.20443994778952823
