logical_table,instance_id,episode_seed,treated_seat,difficulty_scalar,difficulty_tags,deal_rate,below_threshold_accept,worst_off,worst_off_share,dist_to_nbs,dist_to_ks,normalized_gini,normalized_nash_welfare_conditional,max_share,below_threshold_episode,normalized_primary,normalized_nash_welfare,justified_walk,missed_deal,ir_margin_of_no_deal,gini,instance_n_deals,instance_n_ir_deals,instance_feasible_all_ir,instance_ir_margin
all_llm,scorable_negotiation-L1-a9097927ce,0,,0.551691,easy,1.0,0.0,0.30985915492957744,0.11307112482686159,0.48685450697447535,0.48685450697447535,0.17235072143678773,0.5193987562502007,0.3173142238224179,0.0,0.7545,0.5193987562502007,nan,nan,nan,0.35818181818181816,256,37,True,0.4827586206896552
all_llm,scorable_negotiation-L3-a8641f6c33,1,,0.651538,medium;small-frontier,1.0,0.0,0.43333333333333335,0.11781448217286807,0.0,0.0,0.16483365560113486,0.699813695624205,0.27187957424508014,0.0,0.9628,0.699813695624205,nan,nan,nan,0.16855345911949685,256,8,True,0.43333333333333335
all_llm,scorable_negotiation-L1-282034699c,2,,0.600081,easy;large-frontier,1.0,0.0,0.26666666666666666,0.0749561472312146,0.34446504045980925,0.48537981071972963,0.23421229018411027,0.6216146550434868,0.28108555211705477,0.0,0.9791,0.6216146550434868,nan,nan,nan,0.31029411764705883,256,27,True,0.55
all_llm,scorable_negotiation-L1-a9097927ce,1,,0.551691,easy,1.0,0.0,0.30985915492957744,0.11307112482686159,0.48685450697447535,0.48685450697447535,0.17235072143678773,0.5193987562502007,0.3173142238224179,0.0,0.7545,0.5193987562502007,nan,nan,nan,0.35818181818181816,256,37,True,0.4827586206896552
all_llm,scorable_negotiation-L4-faf2ca7d47,3,,0.694187,hard;no-clear-win-win;pivotal-seat;small-frontier,1.0,0.0,0.0,0.0,1.6670137467555703,0.6448855495781002,0.3346938775510204,0.0,0.30612244897959184,0.0,0.8196,0.0,nan,nan,nan,0.44819277108433736,256,5,True,0.0
all_llm,scorable_negotiation-L2-df1e479b72,0,,0.63001,medium;small-frontier,1.0,0.0,0.2619047619047619,0.07835912552198478,0.6169319012476656,0.6169319012476656,0.24681896339965612,0.5912444496179982,0.2991893883566691,0.0,1.0,0.5912444496179982,nan,nan,nan,0.1731958762886598,256,21,True,0.43103448275862066
all_llm,scorable_negotiation-L1-19dae4b672,4,,0.62258,high-conflict;medium,1.0,0.0,0.14516129032258066,0.04732032496779846,0.5728688967940591,0.5728688967940591,0.2423250657795763,0.5190553291636535,0.3259844608892783,0.0,0.9605,0.5190553291636535,nan,nan,nan,0.26542056074766357,256,27,True,0.4387755102040816
all_llm,scorable_negotiation-L0-611ee402f7,4,,0.55854,easy,1.0,0.0,0.16666666666666666,0.05454358657340004,0.4100914424251174,0.6707063453176701,0.27396361477818154,0.515495742659004,0.3272615194404003,0.0,0.9013,0.515495742659004,nan,nan,nan,0.3276595744680851,256,43,True,0.417910447761194
all_llm,scorable_negotiation-L2-1fc37540c8,2,,0.676476,high-conflict;large-frontier;medium;no-clear-win-win,1.0,0.0,0.2631578947368421,0.09029257707636519,0.7243709137131074,0.7243709137131074,0.30175779258921254,0.4864372656929292,0.34311179289018773,0.0,0.8878,0.4864372656929292,nan,nan,nan,0.33176470588235296,256,17,True,0.3103448275862069
all_llm,scorable_negotiation-L2-103cef6017,3,,0.638165,medium;small-frontier,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.0,0.2692307692307692,nan,256,15,True,0.2692307692307692
all_llm,scorable_negotiation-L2-adac68f4ac,2,,0.642993,large-frontier;medium,1.0,0.0,0.24444444444444444,0.07912373507413054,0.5057195335451523,0.5057195335451523,0.24031391648675476,0.5504945285751159,0.32368800712144313,0.0,0.9094,0.5504945285751159,nan,nan,nan,0.22781456953642384,256,17,True,0.4666666666666667
all_llm,scorable_negotiation-L4-712ba36a4f,3,,0.706191,hard;no-clear-win-win;pivotal-seat,1.0,0.0,0.0,0.0,0.5414187120150269,0.0,0.35180722891566263,0.0,0.3132530120481927,0.0,1.0,0.0,nan,nan,nan,0.4186046511627907,256,4,True,0.0
all_llm,scorable_negotiation-L1-996daa4124,2,,0.61343,easy;large-frontier,1.0,0.0,0.08080808080808081,0.02566423391116051,0.561600755547722,0.561600755547722,0.30432281939941114,0.4676486583368195,0.31759489465061125,0.0,0.8835,0.4676486583368195,nan,nan,nan,0.3724770642201835,256,22,True,0.3333333333333333
all_llm,scorable_negotiation-L2-0aa50f7b83,3,,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,1.0,0.0,0.23684210526315788,0.0768419088793302,0.6255700920828654,0.6255700920828654,0.2302983887694343,0.5552364981257403,0.3244436152682831,0.0,0.8216,0.5552364981257403,nan,nan,nan,0.2682080924855491,256,14,True,0.46875
all_llm,scorable_negotiation-L1-996daa4124,1,,0.61343,easy;large-frontier,1.0,0.0,0.3333333333333333,0.09487042589018028,0.0,0.0,0.21522033759086617,0.641750200346156,0.2846112776705409,0.0,1.0,0.641750200346156,nan,nan,nan,0.31226765799256506,256,22,True,0.3333333333333333
all_llm,scorable_negotiation-L4-712ba36a4f,1,,0.706191,hard;no-clear-win-win;pivotal-seat,1.0,0.0,0.0,0.0,0.5414187120150269,0.0,0.35180722891566263,0.0,0.3132530120481927,0.0,1.0,0.0,nan,nan,nan,0.4186046511627907,256,4,True,0.0
all_llm,scorable_negotiation-L0-65113008ad,4,,0.624796,medium,1.0,0.0,0.15476190476190477,0.043124491456468676,0.40449975030660673,0.8127768190800231,0.25151154785003443,0.5826707358115123,0.27865056018025913,0.0,0.9817,0.5826707358115123,nan,nan,nan,0.36205533596837947,256,29,True,0.43902439024390244
all_llm,scorable_negotiation-L0-611ee402f7,3,,0.55854,easy,1.0,0.0,0.417910447761194,0.14004767899037565,0.5426072941604801,0.0,0.07870140983851459,0.5881461012378201,0.22477164506948358,0.0,0.8874,0.5881461012378201,nan,nan,nan,0.19923954372623573,256,43,True,0.417910447761194
all_llm,scorable_negotiation-L2-df1e479b72,2,,0.63001,medium;small-frontier,1.0,0.0,0.3333333333333333,0.10245526810142076,0.4166238404000277,0.4166238404000277,0.20941683757957538,0.6033188256577366,0.3073658043042623,0.0,0.9608,0.6033188256577366,nan,nan,nan,0.3253588516746411,256,21,True,0.43103448275862066
all_llm,scorable_negotiation-L3-a8641f6c33,4,,0.651538,medium;small-frontier,1.0,0.0,0.1694915254237288,0.04704406460718206,0.46216222212042785,0.46216222212042785,0.24732632899482518,0.5931902678602432,0.2775599811823742,0.0,1.0,0.5931902678602432,nan,nan,nan,0.3569620253164557,256,8,True,0.43333333333333335
