logical_table,instance_id,episode_seed,bank_position,seat_index,difficulty_tags,deal_rate,normalized_primary,worst_off,max_share,seat_z,seat_z_uncond,seat_share,seat_advantage,seat_capture_z,coplayer_z,coplayer_z_uncond,z_parties
all_llm,scorable_negotiation-L1-aabb4d986b,3,6,2,easy,1.0,0.8264,0.43333333333333335,0.2520691583672661,0.7931034483,0.7931034483,0.2520691583758148,0.204786204925,1.303142331445217,0.588317243375,0.588317243375,0.4333333333;0.5737704918;0.7931034483;0.6144578313;0.7317073171
all_llm,scorable_negotiation-L0-611ee402f7,0,5,0,easy,1.0,1.0,0.35185185185185186,0.29927974922673495,0.762962963,0.762962963,0.22833936422355938,0.11836485887500003,0.4082876051753063,0.644598104125,0.644598104125,0.762962963;0.7611940299;0.3518518519;0.4653465347;1
all_llm,scorable_negotiation-L0-34733a57e6,3,20,1,easy;large-frontier,1.0,0.7853,0.3283582089552239,0.3397838803331949,0.3372093023,0.3372093023,0.12432962864214842,-0.25654336590000004,-0.9508482247125543,0.5937526682000001,0.5937526682000001,0.328358209;0.3372093023;0.5774647887;0.9215686275;0.5476190476
one_rational,scorable_negotiation-L3-a8641f6c33,4,3,1,medium;small-frontier,1.0,0.6793,0.3157894736842105,0.33252976671296725,0.7352941176,0.7352941176,0.24450718139382963,0.16730525297499999,0.5491107131081697,0.567988864625,0.567988864625,1;0.7352941176;0.5423728814;0.3157894737;0.4137931034
one_rational,scorable_negotiation-L0-a483b0d80d,2,15,4,easy,1.0,0.9311,0.2,0.2837877212803194,0.8111111111,0.8111111111,0.2837877212711206,0.29934853855,1.0923144068944488,0.51176257255,0.51176257255,0.7765957447;0.2;0.525;0.5454545455;0.8111111111
one_rational,scorable_negotiation-L4-8a29217702,3,4,0,hard;high-conflict;no-clear-win-win;small-frontier,1.0,1.0,0.49122807017543857,0.23769808173477897,1.0,1.0,0.23769808173249912,0.19824561402499996,0.7668554827228281,0.801754385975,0.801754385975,1;1;0.7157894737;0.4912280702;1
one_rational,scorable_negotiation-L0-34733a57e6,3,20,1,easy;large-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L2-adac68f4ac,0,17,2,large-frontier;medium,1.0,0.7521,0.24324324324324326,0.28737598357851524,0.7567567568,0.7567567568,0.28737598358766137,0.28761261265000004,1.2977240201424016,0.46914414414999994,0.46914414414999994,0.5;0.4666666667;0.7567567568;0.2432432432;0.6666666667
one_rational,scorable_negotiation-L4-faf2ca7d47,0,14,4,hard;no-clear-win-win;pivotal-seat;small-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L3-d9a0ef3c04,4,13,1,hard;no-clear-win-win;pivotal-seat,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L0-34733a57e6,4,20,3,easy;large-frontier,1.0,0.8811,0.4523809523809524,0.22870969461876425,0.6470588235,0.6470588235,0.22033862082406835,0.07465942655000002,0.7564460408301401,0.57239939695,0.57239939695,0.671641791;0.6162790698;0.5492957746;0.6470588235;0.4523809524
one_rational,scorable_negotiation-L2-df1e479b72,3,2,3,medium;small-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L3-9a673abad3,1,18,0,hard;high-conflict;pivotal-seat,1.0,0.8846,0.0,0.3664014974262985,1.0,1.0,0.3664014974259196,0.5676883780324999,1.044656594616559,0.4323116219675,0.4323116219675,1;0.07407407407;0;0.6551724138;1
one_rational,scorable_negotiation-L2-df1e479b72,4,2,0,medium;small-frontier,1.0,0.9974,0.0,0.30656934306569344,1.0,1.0,0.306569343066141,0.434523809525,0.8014722470417939,0.565476190475,0.565476190475,1;1;0;0.2619047619;1
one_rational,scorable_negotiation-L1-a9097927ce,0,1,1,easy,1.0,0.9328,0.0,0.31697896791697455,0.7391304348,0.7391304348,0.2342888023748795,0.13521718254999993,0.31238833612118216,0.60391325225,0.60391325225,0.5633802817;0.7391304348;0;1;0.8522727273
