logical_table,instance_id,episode_seed,treated_seat,difficulty_scalar,difficulty_tags,deal_rate,below_threshold_accept,worst_off,worst_off_share,dist_to_nbs,dist_to_ks,normalized_gini,normalized_nash_welfare_conditional,max_share,below_threshold_episode,normalized_primary,normalized_nash_welfare,justified_walk,missed_deal,ir_margin_of_no_deal,gini,z_parties,instance_n_deals,instance_n_ir_deals,instance_feasible_all_ir,instance_ir_margin
all_llm,scorable_negotiation-L1-a9097927ce,0,,0.551691,easy,1.0,0.0,0.30985915492957744,0.11307112482686159,0.48685450697447535,0.48685450697447535,0.17235072143678773,0.5193987562502007,0.3173142238224179,0.0,0.7545,0.5193987562502007,nan,nan,nan,0.35818181818181816,0.3098591549;0.8695652174;0.4827586207;0.5441176471;0.5340909091,256,37,True,0.4827586206896552
all_llm,scorable_negotiation-L3-a8641f6c33,1,,0.651538,medium;small-frontier,1.0,0.0,0.43333333333333335,0.11781448217286807,0.0,0.0,0.16483365560113486,0.699813695624205,0.27187957424508014,0.0,0.9628,0.699813695624205,nan,nan,nan,0.16855345911949685,0.4333333333;0.6176470588;0.6271186441;1;1,256,8,True,0.43333333333333335
all_llm,scorable_negotiation-L1-282034699c,2,,0.600081,easy;large-frontier,1.0,0.0,0.26666666666666666,0.0749561472312146,0.34446504045980925,0.48537981071972963,0.23421229018411027,0.6216146550434868,0.28108555211705477,0.0,0.9791,0.6216146550434868,nan,nan,nan,0.31029411764705883,0.9074074074;1;0.2666666667;0.3835616438;1,256,27,True,0.55
all_llm,scorable_negotiation-L1-a9097927ce,1,,0.551691,easy,1.0,0.0,0.30985915492957744,0.11307112482686159,0.48685450697447535,0.48685450697447535,0.17235072143678773,0.5193987562502007,0.3173142238224179,0.0,0.7545,0.5193987562502007,nan,nan,nan,0.35818181818181816,0.3098591549;0.8695652174;0.4827586207;0.5441176471;0.5340909091,256,37,True,0.4827586206896552
all_llm,scorable_negotiation-L4-faf2ca7d47,3,,0.694187,hard;no-clear-win-win;pivotal-seat;small-frontier,1.0,0.0,0.0,0.0,1.6670137467555703,0.6448855495781002,0.3346938775510204,0.0,0.30612244897959184,0.0,0.8196,0.0,nan,nan,nan,0.44819277108433736,1;1;0.2666666667;0;1,256,5,True,0.0
all_llm,scorable_negotiation-L2-df1e479b72,0,,0.63001,medium;small-frontier,1.0,0.0,0.2619047619047619,0.07835912552198478,0.6169319012476656,0.6169319012476656,0.24681896339965612,0.5912444496179982,0.2991893883566691,0.0,1.0,0.5912444496179982,nan,nan,nan,0.1731958762886598,1;1;0.6666666667;0.2619047619;0.4137931034,256,21,True,0.43103448275862066
all_llm,scorable_negotiation-L1-19dae4b672,4,,0.62258,high-conflict;medium,1.0,0.0,0.14516129032258066,0.04732032496779846,0.5728688967940591,0.5728688967940591,0.2423250657795763,0.5190553291636535,0.3259844608892783,0.0,0.9605,0.5190553291636535,nan,nan,nan,0.26542056074766357,0.7244897959;1;0.6222222222;0.5757575758;0.1451612903,256,27,True,0.4387755102040816
all_llm,scorable_negotiation-L0-611ee402f7,4,,0.55854,easy,1.0,0.0,0.16666666666666666,0.05454358657340004,0.4100914424251174,0.6707063453176701,0.27396361477818154,0.515495742659004,0.3272615194404003,0.0,0.9013,0.515495742659004,nan,nan,nan,0.3276595744680851,0.8222222222;1;0.1666666667;0.396039604;0.6707317073,256,43,True,0.417910447761194
all_llm,scorable_negotiation-L2-1fc37540c8,2,,0.676476,high-conflict;large-frontier;medium;no-clear-win-win,1.0,0.0,0.2631578947368421,0.09029257707636519,0.7243709137131074,0.7243709137131074,0.30175779258921254,0.4864372656929292,0.34311179289018773,0.0,0.8878,0.4864372656929292,nan,nan,nan,0.33176470588235296,0.275;1;1;0.2631578947;0.376344086,256,17,True,0.3103448275862069
all_llm,scorable_negotiation-L2-103cef6017,3,,0.638165,medium;small-frontier,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.0,0.2692307692307692,nan,,256,15,True,0.2692307692307692
all_llm,scorable_negotiation-L2-adac68f4ac,2,,0.642993,large-frontier;medium,1.0,0.0,0.24444444444444444,0.07912373507413054,0.5057195335451523,0.5057195335451523,0.24031391648675476,0.5504945285751159,0.32368800712144313,0.0,0.9094,0.5504945285751159,nan,nan,nan,0.22781456953642384,0.7368421053;1;0.7162162162;0.3918918919;0.2444444444,256,17,True,0.4666666666666667
