arm,below_threshold_accept,below_threshold_episode,cell_id,cost_usd,deal_rate,difficulty_scalar,difficulty_tags,dist_to_ks,dist_to_nbs,episode_seed,expired_rate,final_is_seeded,gini,immediate_accept,instance_feasible_all_ir,instance_id,instance_ir_margin,instance_n_deals,instance_n_ir_deals,ir_margin_of_no_deal,ir_rate,justified_walk,logical_table,max_share,missed_deal,n_distinct_openers,n_turns,normalized_gini,normalized_nash_welfare,normalized_nash_welfare_conditional,normalized_primary,protocol_variant,seed_accept_fraction,seeded_kind,seeded_min_z,seeded_normalized_score,seeded_offer,seeded_offer_id,seeded_z_sum,time_to_acceptance,treated_seat,turns_to_close,walked_rate,worst_off,worst_off_share,z_parties
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.551691,easy,0.7018961499562226,0.7018961499562226,2,0.0,1.0,0.24206642066420664,1.0,True,scorable_negotiation-L1-a9097927ce,0.4827586206896552,256,37,nan,1.0,nan,all_rational,0.29869248251232255,nan,nan,5,0.29921194769930043,0.0,0.0,1.0,vote,1.0,ceiling,0.0,1.0,ceiling,P1,3.290734,5,,5.0,0.0,0.0,0.0,1;0.4956521739;0;1;0.8522727273
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.62258,high-conflict;medium,0.616993854021321,0.616993854021321,0,0.0,1.0,0.24528301886792453,1.0,True,scorable_negotiation-L1-19dae4b672,0.4387755102040816,256,27,nan,1.0,nan,all_rational,0.313897741571073,nan,nan,5,0.2876948227881816,0.5193627810773402,0.5193627810773402,1.0,vote,1.0,ceiling,0.145161,1.0,ceiling,P1,2.308219,5,,5.0,0.0,0.14516129032258066,0.04556580119580092,0.4183673469;1;0.6222222222;1;0.1451612903
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.600081,easy;large-frontier,0.44020236257876105,0.0,4,0.0,1.0,0.2939929328621908,1.0,True,scorable_negotiation-L1-282034699c,0.55,256,27,nan,1.0,nan,all_rational,0.27612389851641195,nan,nan,5,0.20903601798798002,0.6538795158177795,0.6538795158177795,1.0,vote,1.0,ceiling,0.170213,1.0,ceiling,P1,3.068414,5,,5.0,0.0,0.26666666666666666,0.07363303960437652,0.5740740741;1;0.2666666667;0.7808219178;1
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.614162,easy,0.8538573107761184,0.29494716168901497,0,0.0,1.0,0.3249230769230769,1.0,True,scorable_negotiation-L1-aabb4d986b,0.4959349593495935,256,22,nan,1.0,nan,all_rational,0.2700605308086295,nan,nan,5,0.23554244916964145,0.5847894682720773,0.5847894682720773,1.0,vote,1.0,ceiling,0.088608,1.0,ceiling,P1,3.350023,5,,5.0,0.0,0.11666666666666667,0.03150706192767344,0.1166666667;1;0.5862068966;1;1
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.551691,easy,0.7018961499562226,0.7018961499562226,0,0.0,1.0,0.24206642066420664,1.0,True,scorable_negotiation-L1-a9097927ce,0.4827586206896552,256,37,nan,1.0,nan,all_rational,0.29869248251232255,nan,nan,5,0.29921194769930043,0.0,0.0,1.0,vote,1.0,ceiling,0.0,1.0,ceiling,P1,3.290734,5,,5.0,0.0,0.0,0.0,1;0.4956521739;0;1;0.8522727273
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.614162,easy,0.8538573107761184,0.29494716168901497,1,0.0,1.0,0.3249230769230769,1.0,True,scorable_negotiation-L1-aabb4d986b,0.4959349593495935,256,22,nan,1.0,nan,all_rational,0.2700605308086295,nan,nan,5,0.23554244916964145,0.5847894682720773,0.5847894682720773,1.0,vote,1.0,ceiling,0.088608,1.0,ceiling,P1,3.350023,5,,5.0,0.0,0.11666666666666667,0.03150706192767344,0.1166666667;1;0.5862068966;1;1
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.62258,high-conflict;medium,0.616993854021321,0.616993854021321,1,0.0,1.0,0.24528301886792453,1.0,True,scorable_negotiation-L1-19dae4b672,0.4387755102040816,256,27,nan,1.0,nan,all_rational,0.313897741571073,nan,nan,5,0.2876948227881816,0.5193627810773402,0.5193627810773402,1.0,vote,1.0,ceiling,0.145161,1.0,ceiling,P1,2.308219,5,,5.0,0.0,0.14516129032258066,0.04556580119580092,0.4183673469;1;0.6222222222;1;0.1451612903
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.61343,easy;large-frontier,0.0,0.0,1,0.0,1.0,0.31226765799256506,1.0,True,scorable_negotiation-L1-996daa4124,0.3333333333333333,256,22,nan,1.0,nan,all_rational,0.2846112776705409,nan,nan,5,0.21522033759086617,0.641750200346156,0.641750200346156,1.0,vote,1.0,ceiling,0.242424,1.0,ceiling,P1,2.642531,5,,5.0,0.0,0.3333333333333333,0.09487042589018028,0.7373737374;1;0.4428571429;1;0.3333333333
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.61343,easy;large-frontier,0.0,0.0,4,0.0,1.0,0.31226765799256506,1.0,True,scorable_negotiation-L1-996daa4124,0.3333333333333333,256,22,nan,1.0,nan,all_rational,0.2846112776705409,nan,nan,5,0.21522033759086617,0.641750200346156,0.641750200346156,1.0,vote,1.0,ceiling,0.242424,1.0,ceiling,P1,2.642531,5,,5.0,0.0,0.3333333333333333,0.09487042589018028,0.7373737374;1;0.4428571429;1;0.3333333333
all_rational__ceiling_vote,0.0,0.0,all_rational__ceiling_vote,0.0,1.0,0.62258,high-conflict;medium,0.616993854021321,0.616993854021321,2,0.0,1.0,0.24528301886792453,1.0,True,scorable_negotiation-L1-19dae4b672,0.4387755102040816,256,27,nan,1.0,nan,all_rational,0.313897741571073,nan,nan,5,0.2876948227881816,0.5193627810773402,0.5193627810773402,1.0,vote,1.0,ceiling,0.145161,1.0,ceiling,P1,2.308219,5,,5.0,0.0,0.14516129032258066,0.04556580119580092,0.4183673469;1;0.6222222222;1;0.1451612903
