experiment-name,condition,focal_seat,instance_id,seed,episode_id,deal,focal_normalized_surplus,opponent_normalized_surplus,normalized_welfare,syntax_errors,economic_errors,turns,episode_json,transcript_md,transcript_html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-2b42ce4a5c,1,scorable_negotiation-moves_chat-5db3e0445d,1,1.0,0.012195,1.0122,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-5db3e0445d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5db3e0445d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5db3e0445d.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-2b42ce4a5c,1,scorable_negotiation-moves_chat-4e7a7d9d37,1,1.0,0.012195,1.0122,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-4e7a7d9d37.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-4e7a7d9d37.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-4e7a7d9d37.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-2d5d5b106e,0,scorable_negotiation-moves_chat-a5193ebca5,1,1.0,0.0,1.0,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-a5193ebca5.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-a5193ebca5.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-a5193ebca5.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-2d5d5b106e,0,scorable_negotiation-moves_chat-f97d1df17f,1,1.0,0.0,1.0,0,0,6,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-f97d1df17f.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f97d1df17f.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f97d1df17f.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-2d5d5b106e,1,scorable_negotiation-moves_chat-d9429c7a6a,1,1.0,0.0,1.0,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-d9429c7a6a.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d9429c7a6a.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d9429c7a6a.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-2d5d5b106e,1,scorable_negotiation-moves_chat-f9eb8fd404,1,1.0,0.0,1.0,0,0,8,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-f9eb8fd404.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f9eb8fd404.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f9eb8fd404.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-2eb1acc6bf,0,scorable_negotiation-moves_chat-ae3bf71f98,0,0.0,0.0,0.0,0,0,14,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-ae3bf71f98.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-ae3bf71f98.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-ae3bf71f98.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-2eb1acc6bf,0,scorable_negotiation-moves_chat-f6f53d065b,1,1.0,0.0,1.0,0,0,2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-f6f53d065b.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f6f53d065b.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f6f53d065b.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-2eb1acc6bf,1,scorable_negotiation-moves_chat-e3b7623712,0,0.0,0.0,0.0,0,0,14,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e3b7623712.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e3b7623712.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e3b7623712.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-2eb1acc6bf,1,scorable_negotiation-moves_chat-fe6fd8a2e9,1,1.0,0.0,1.0,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-fe6fd8a2e9.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fe6fd8a2e9.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fe6fd8a2e9.html
