experiment-name,focal_seat,instance_id,seed,surplus_difference,opponent_surplus_difference,deal_difference,welfare_difference,baseline_deal,guided_deal,baseline_focal_normalized_surplus,guided_focal_normalized_surplus,baseline_opponent_normalized_surplus,guided_opponent_normalized_surplus,baseline_normalized_welfare,guided_normalized_welfare,baseline_episode_id,guided_episode_id,baseline_episode_json,guided_episode_json,baseline_transcript_md,guided_transcript_md,baseline_transcript_html,guided_transcript_html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-4abed256fd,0,0.0,0.0,0,0.0,1,1,0.102564,0.102564,1.0,1.0,1.1026,1.1026,scorable_negotiation-moves_chat-b5d678febf,scorable_negotiation-moves_chat-90f71da89d,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-b5d678febf.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-90f71da89d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-b5d678febf.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-90f71da89d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-b5d678febf.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-90f71da89d.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-4abed256fd,1,0.44871800000000006,-0.714286,0,-0.26560000000000006,1,1,0.102564,0.551282,1.0,0.285714,1.1026,0.837,scorable_negotiation-moves_chat-70f94b0da4,scorable_negotiation-moves_chat-cae553c552,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-70f94b0da4.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-cae553c552.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-70f94b0da4.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-cae553c552.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-70f94b0da4.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-cae553c552.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-4d2e9ce257,0,0.0,0.0,0,0.0,1,1,1.0,1.0,0.029703,0.029703,1.0297,1.0297,scorable_negotiation-moves_chat-e69569ce61,scorable_negotiation-moves_chat-d40ec080b2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e69569ce61.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-d40ec080b2.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e69569ce61.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-d40ec080b2.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e69569ce61.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-d40ec080b2.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-4d2e9ce257,1,0.333333,-0.24752499999999997,0,0.0858000000000001,1,1,0.666667,1.0,0.277228,0.029703,0.9439,1.0297,scorable_negotiation-moves_chat-e9e2194900,scorable_negotiation-moves_chat-2152ae37b2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e9e2194900.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-2152ae37b2.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e9e2194900.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-2152ae37b2.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e9e2194900.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-2152ae37b2.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-5646c8be3d,0,1.0,0.218718,1,1.2187,0,1,0.0,1.0,0.0,0.218718,0.0,1.2187,scorable_negotiation-moves_chat-998da0647e,scorable_negotiation-moves_chat-fdaf1b3e0a,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-998da0647e.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-fdaf1b3e0a.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-998da0647e.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fdaf1b3e0a.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-998da0647e.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fdaf1b3e0a.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-5646c8be3d,1,0.0,0.0,0,0.0,1,1,1.0,1.0,0.218718,0.218718,1.2187,1.2187,scorable_negotiation-moves_chat-e1e6a5d1f2,scorable_negotiation-moves_chat-065ac5c875,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e1e6a5d1f2.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-065ac5c875.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e1e6a5d1f2.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-065ac5c875.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e1e6a5d1f2.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-065ac5c875.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-8b01faa970,0,0.0,0.0,0,0.0,1,1,0.093117,0.093117,1.0,1.0,1.0931,1.0931,scorable_negotiation-moves_chat-bea312344d,scorable_negotiation-moves_chat-864fa0e5c7,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-bea312344d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-864fa0e5c7.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bea312344d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-864fa0e5c7.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bea312344d.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-864fa0e5c7.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-8b01faa970,1,0.0,0.0,0,0.0,1,1,0.093117,0.093117,1.0,1.0,1.0931,1.0931,scorable_negotiation-moves_chat-d138a345cb,scorable_negotiation-moves_chat-04216c6818,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-d138a345cb.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-04216c6818.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d138a345cb.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-04216c6818.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d138a345cb.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-04216c6818.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-90316f9784,0,-1.0,-0.045045,-1,-1.045,1,0,1.0,0.0,0.045045,0.0,1.045,0.0,scorable_negotiation-moves_chat-980772b988,scorable_negotiation-moves_chat-52f9fedc5b,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-980772b988.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-52f9fedc5b.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-980772b988.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-52f9fedc5b.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-980772b988.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-52f9fedc5b.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-90316f9784,1,0.0,0.0,0,0.0,1,1,1.0,1.0,0.045045,0.045045,1.045,1.045,scorable_negotiation-moves_chat-2aaee4f90d,scorable_negotiation-moves_chat-7bdcb4c74b,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-2aaee4f90d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-7bdcb4c74b.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-2aaee4f90d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-7bdcb4c74b.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-2aaee4f90d.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-7bdcb4c74b.html
