logical_table,cell_id,instance_id,episode_seed,treated_seat,difficulty_scalar,difficulty_tags,normalized_primary,normalized_nash_welfare,deal_rate,dist_to_nbs,dist_to_ks,gini,worst_off,max_share,ir_rate,walked_rate,expired_rate,turns_to_close,n_distinct_openers,cost_usd
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L0-65113008ad,3,,0.624796,medium,1.0,0.7017498964087139,1.0,0.0,0.5756750162667985,0.2046875,0.4339622641509434,0.2708804581245526,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L0-611ee402f7,4,,0.55854,easy,1.0,0.6246360293738825,1.0,0.0,0.5426072941604801,0.26887417218543047,0.35185185185185186,0.29927974922673495,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L0-a483b0d80d,0,,0.546303,easy,0.9649,0.5911336765686735,1.0,0.0,0.0,0.1360323886639676,0.4727272727272727,0.2538432025241852,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L0-34733a57e6,4,,0.561029,easy;large-frontier,0.8811,0.5816127151021112,1.0,0.0,0.0,0.09038461538461538,0.4523809523809524,0.22870969461876425,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L0-65113008ad,2,,0.624796,medium,1.0,0.7017498964087139,1.0,0.0,0.5756750162667985,0.2046875,0.4339622641509434,0.2708804581245526,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-282034699c,2,,0.600081,easy;large-frontier,1.0,0.6538795158177795,1.0,0.0,0.44020236257876105,0.2939929328621908,0.26666666666666666,0.27612389851641195,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-aabb4d986b,2,,0.614162,easy,0.9825,0.6903484307766603,1.0,0.0,0.6559906497738882,0.2296774193548387,0.35,0.2702385326661338,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-aabb4d986b,1,,0.614162,easy,0.9825,0.6903484307766603,1.0,0.0,0.6559906497738882,0.2296774193548387,0.35,0.2702385326661338,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-a9097927ce,1,,0.551691,easy,0.8217,0.579879882689078,1.0,0.0,0.0,0.2367713004484305,0.4827586206896552,0.25446411257682466,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-282034699c,3,,0.600081,easy;large-frontier,1.0,0.6538795158177795,1.0,0.0,0.44020236257876105,0.2939929328621908,0.26666666666666666,0.27612389851641195,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-996daa4124,3,,0.61343,easy;large-frontier,1.0,0.641750200346156,1.0,0.0,0.0,0.31226765799256506,0.3333333333333333,0.2846112776705409,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-aabb4d986b,0,,0.614162,easy,0.9825,0.6903484307766603,1.0,0.0,0.6559906497738882,0.2296774193548387,0.35,0.2702385326661338,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-996daa4124,0,,0.61343,easy;large-frontier,1.0,0.641750200346156,1.0,0.0,0.0,0.31226765799256506,0.3333333333333333,0.2846112776705409,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-a9097927ce,4,,0.551691,easy,0.8217,0.579879882689078,1.0,0.0,0.0,0.2367713004484305,0.4827586206896552,0.25446411257682466,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-996daa4124,4,,0.61343,easy;large-frontier,1.0,0.641750200346156,1.0,0.0,0.0,0.31226765799256506,0.3333333333333333,0.2846112776705409,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-19dae4b672,1,,0.62258,high-conflict;medium,0.9361,0.5473378930233871,1.0,0.0,0.0,0.18585858585858586,0.4387755102040816,0.24888160899354297,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-19dae4b672,0,,0.62258,high-conflict;medium,0.9361,0.5473378930233871,1.0,0.0,0.0,0.18585858585858586,0.4387755102040816,0.24888160899354297,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-19dae4b672,4,,0.62258,high-conflict;medium,0.9361,0.5473378930233871,1.0,0.0,0.0,0.18585858585858586,0.4387755102040816,0.24888160899354297,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-282034699c,4,,0.600081,easy;large-frontier,1.0,0.6538795158177795,1.0,0.0,0.44020236257876105,0.2939929328621908,0.26666666666666666,0.27612389851641195,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-996daa4124,2,,0.61343,easy;large-frontier,1.0,0.641750200346156,1.0,0.0,0.0,0.31226765799256506,0.3333333333333333,0.2846112776705409,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-aabb4d986b,3,,0.614162,easy,0.9825,0.6903484307766603,1.0,0.0,0.6559906497738882,0.2296774193548387,0.35,0.2702385326661338,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-a9097927ce,0,,0.551691,easy,0.8217,0.579879882689078,1.0,0.0,0.0,0.2367713004484305,0.4827586206896552,0.25446411257682466,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-282034699c,1,,0.600081,easy;large-frontier,1.0,0.6538795158177795,1.0,0.0,0.44020236257876105,0.2939929328621908,0.26666666666666666,0.27612389851641195,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-282034699c,0,,0.600081,easy;large-frontier,1.0,0.6538795158177795,1.0,0.0,0.44020236257876105,0.2939929328621908,0.26666666666666666,0.27612389851641195,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-a9097927ce,3,,0.551691,easy,0.8217,0.579879882689078,1.0,0.0,0.0,0.2367713004484305,0.4827586206896552,0.25446411257682466,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-19dae4b672,2,,0.62258,high-conflict;medium,0.9361,0.5473378930233871,1.0,0.0,0.0,0.18585858585858586,0.4387755102040816,0.24888160899354297,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-996daa4124,1,,0.61343,easy;large-frontier,1.0,0.641750200346156,1.0,0.0,0.0,0.31226765799256506,0.3333333333333333,0.2846112776705409,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-aabb4d986b,4,,0.614162,easy,0.9825,0.6903484307766603,1.0,0.0,0.6559906497738882,0.2296774193548387,0.35,0.2702385326661338,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-a9097927ce,2,,0.551691,easy,0.8217,0.579879882689078,1.0,0.0,0.0,0.2367713004484305,0.4827586206896552,0.25446411257682466,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L1-19dae4b672,3,,0.62258,high-conflict;medium,0.9361,0.5473378930233871,1.0,0.0,0.0,0.18585858585858586,0.4387755102040816,0.24888160899354297,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-adac68f4ac,1,,0.642993,large-frontier;medium,0.984,0.6267326608612243,1.0,0.0,0.0,0.32131147540983607,0.4666666666666667,0.3072239136451702,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-0aa50f7b83,2,,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,0.9317,0.7168822113478109,1.0,0.0,0.0,0.1932367149758454,0.46875,0.26702604582084216,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-0aa50f7b83,4,,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,0.9317,0.7168822113478109,1.0,0.0,0.0,0.1932367149758454,0.46875,0.26702604582084216,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-df1e479b72,0,,0.63001,medium;small-frontier,0.9285,0.6095399231842512,1.0,0.0,0.0,0.14782608695652175,0.43103448275862066,0.3126118902132829,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-1fc37540c8,1,,0.676476,high-conflict;large-frontier;medium;no-clear-win-win,1.0,0.6208791766745703,1.0,0.0,0.0,0.2320754716981132,0.3103448275862069,0.3018266418973166,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-0aa50f7b83,3,,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,0.9317,0.7168822113478109,1.0,0.0,0.0,0.1932367149758454,0.46875,0.26702604582084216,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-103cef6017,4,,0.638165,medium;small-frontier,1.0,0.6067372574347059,1.0,0.0,0.0,0.22995169082125605,0.2692307692307692,0.3036984284733214,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-adac68f4ac,0,,0.642993,large-frontier;medium,0.984,0.6267326608612243,1.0,0.0,0.0,0.32131147540983607,0.4666666666666667,0.3072239136451702,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-df1e479b72,4,,0.63001,medium;small-frontier,0.9285,0.6095399231842512,1.0,0.0,0.0,0.14782608695652175,0.43103448275862066,0.3126118902132829,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-adac68f4ac,2,,0.642993,large-frontier;medium,0.984,0.6267326608612243,1.0,0.0,0.0,0.32131147540983607,0.4666666666666667,0.3072239136451702,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-0aa50f7b83,0,,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,0.9317,0.7168822113478109,1.0,0.0,0.0,0.1932367149758454,0.46875,0.26702604582084216,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-adac68f4ac,4,,0.642993,large-frontier;medium,0.984,0.6267326608612243,1.0,0.0,0.0,0.32131147540983607,0.4666666666666667,0.3072239136451702,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-103cef6017,2,,0.638165,medium;small-frontier,1.0,0.6067372574347059,1.0,0.0,0.0,0.22995169082125605,0.2692307692307692,0.3036984284733214,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-adac68f4ac,3,,0.642993,large-frontier;medium,0.984,0.6267326608612243,1.0,0.0,0.0,0.32131147540983607,0.4666666666666667,0.3072239136451702,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-103cef6017,1,,0.638165,medium;small-frontier,1.0,0.6067372574347059,1.0,0.0,0.0,0.22995169082125605,0.2692307692307692,0.3036984284733214,1.0,0.0,0.0,5.0,1.0,0.0
all_fairness_oracle,all_fairness_oracle,scorable_negotiation-L2-0aa50f7b83,1,,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,0.9317,0.7168822113478109,1.0,0.0,0.0,0.1932367149758454,0.46875,0.26702604582084216,1.0,0.0,0.0,5.0,1.0,0.0
